CalendarDate,ProductID,StoreID
2018-08-28,19,7
2018-12-12,13,12
2018-03-23,18,7
2018-10-10,10,6
2018-01-08,10,1
2018-04-17,14,7
2018-03-28,12,25
2018-05-23,13,20
2018-09-07,12,7
2018-01-12,8,20
2018-07-02,2,18
2018-08-10,4,10
2018-10-16,2,2
2018-06-08,11,21
2018-02-25,3,25
2018-01-08,19,2
2018-08-22,15,1
2018-05-24,6,22
2018-02-22,14,3
2018-04-11,4,6
2018-12-30,12,23
2018-08-19,19,5
2018-04-03,17,17
2018-06-03,16,9
2018-10-29,2,15
2018-08-26,2,16
2018-04-18,16,3
2018-02-08,10,9
2018-07-30,18,13
2018-05-26,9,13
2018-10-28,16,20
2018-09-16,9,9
2018-02-11,12,21
2018-10-06,14,9
2018-08-02,7,18
2018-11-23,2,20
2018-07-23,10,20
2018-05-12,8,6
2018-01-07,12,13
2018-04-06,9,22
2018-05-25,6,20
2018-03-14,15,12
2018-02-03,6,2
2018-02-05,20,22
2018-04-11,16,22
2018-11-20,9,10
2018-11-16,3,25
2018-05-16,18,16
2018-11-17,2,5
2018-07-14,15,20
2018-05-24,12,10
2018-08-19,9,16
2018-04-09,17,2
2018-03-12,18,10
2018-10-21,9,2
2018-11-21,19,3
2018-12-16,18,14
2018-05-09,14,9
2018-05-13,11,16
2018-05-23,17,7
2018-11-29,15,12
2018-11-24,16,16
2018-11-06,7,12
2018-12-26,5,22
2018-07-20,11,21
2018-05-14,5,5
2018-05-02,11,25
2018-10-25,7,9
2018-11-12,4,13
2018-04-18,11,11
2018-05-22,1,25
2018-07-17,12,7
2018-05-25,2,6
2018-07-03,16,25
2018-07-15,19,18
2018-02-22,16,21
2018-10-29,3,17
2018-12-29,5,8
2018-01-13,19,22
2018-04-28,8,19
2018-01-09,15,8
2018-07-28,7,16
2018-07-27,17,9
2018-07-29,13,13
2018-03-10,14,22
2018-06-26,19,14
2018-11-14,9,22
2018-05-23,4,1
2018-06-04,19,22
2018-08-08,6,12
2018-02-01,5,21
2018-10-15,8,5
2018-04-10,10,14
2018-05-26,12,23
2018-08-08,9,16
2018-12-21,8,1
2018-07-09,14,19
2018-11-12,11,22
2018-05-08,1,6
2018-08-18,9,5
2018-12-29,11,24
2018-11-14,2,5
2018-05-18,9,16
2018-06-13,11,21
2018-07-03,4,25
2018-07-09,4,23
2018-12-16,14,25
2018-10-22,4,8
2018-05-31,16,21
2018-08-01,14,14
2018-02-08,12,21
2018-03-16,16,2
2018-06-30,6,18
2018-03-08,15,5
2018-10-20,13,18
2018-05-29,2,6
2018-10-09,13,4
2018-12-27,6,24
2018-05-28,17,1
2018-04-17,6,1
2018-07-05,6,17
2018-10-01,5,19
2018-05-22,5,15
2018-08-27,4,2
2018-11-23,3,25
2018-04-25,7,13
2018-10-20,14,9
2018-07-19,6,16
2018-07-19,11,10
2018-12-09,5,9
2018-12-10,5,21
2018-03-10,20,3
2018-04-09,7,8
2018-01-28,6,9
2018-02-15,6,22
2018-05-09,18,17
2018-10-03,16,18
2018-11-26,11,21
2018-10-22,9,18
2018-11-07,1,25
2018-04-06,11,25
2018-01-23,8,7
2018-04-04,15,9
2018-03-06,7,13
2018-01-19,2,20
2018-05-04,10,24
2018-08-12,16,10
2018-04-17,13,9
2018-06-18,14,14
2018-03-19,12,15
2018-06-28,15,18
2018-03-31,2,17
2018-04-28,20,24
2018-05-14,13,25
2018-03-09,20,18
2018-08-16,7,9
2018-10-25,11,8
2018-11-02,6,4
2018-02-27,16,25
2018-02-19,7,15
2018-03-17,13,10
2018-01-16,14,8
2018-09-07,19,19
2018-08-23,12,10
2018-09-03,5,15
2018-08-15,1,2
2018-12-09,13,7
2018-01-28,16,13
